iter	Logloss
0	0.6849069045
1	0.6764786197
2	0.6683177785
3	0.6608016858
4	0.6529975473
5	0.6459272078
6	0.6388605163
7	0.6316030844
8	0.6264111093
9	0.6204628276
10	0.6138673448
11	0.6078792791
12	0.6028327353
13	0.5982668787
14	0.5928167976
15	0.587982756
16	0.5833493548
17	0.5791090032
18	0.5744876654
19	0.5714323245
20	0.5671487681
21	0.5632878635
22	0.5597870539
23	0.5568453743
24	0.554263579
25	0.5516620329
26	0.5491459755
27	0.5461841664
28	0.5430297196
29	0.5396334674
30	0.5363514369
31	0.5334536912
32	0.5318364063
33	0.5300025245
34	0.5280634967
35	0.5253957493
36	0.5242540017
37	0.5216416554
38	0.5205253143
39	0.5188047275
40	0.5168735955
41	0.5145504322
42	0.513054787
43	0.510870438
44	0.5092162719
45	0.5080350845
46	0.5058322941
47	0.5045447223
48	0.5035521417
49	0.5023244492
50	0.5012653147
51	0.500198518
52	0.4989754612
53	0.4978012193
54	0.4971070063
55	0.496194127
56	0.4955602965
57	0.4947176483
58	0.4937621787
59	0.4921555952
60	0.4909928473
61	0.490492071
62	0.4899754087
63	0.4891265761
64	0.4887862178
65	0.4881796606
66	0.4872804462
67	0.4863906034
68	0.4855570613
69	0.4841333157
70	0.4835606006
71	0.4826247059
72	0.4824682996
73	0.4812974504
74	0.4804086467
75	0.479840977
76	0.4789195913
77	0.4785623108
78	0.4779933973
79	0.477266484
80	0.4769897535
81	0.4768447339
82	0.475920481
83	0.4751136897
84	0.4744797631
85	0.473554561
86	0.4726083569
87	0.4721081714
88	0.4709298551
89	0.4704832743
90	0.4702267533
91	0.4698800705
92	0.4693749611
93	0.4687619553
94	0.4676353206
95	0.4665386855
96	0.4655993274
97	0.4646888945
98	0.4642039868
99	0.4633834602
100	0.4631922808
101	0.4624680525
102	0.4618983494
103	0.4611760065
104	0.4610827214
105	0.4609692833
106	0.4599026495
107	0.4594232176
108	0.4592893151
109	0.4583776304
110	0.4574628304
111	0.4573842668
112	0.4571424474
113	0.4562849328
114	0.4562168444
115	0.4561175398
116	0.455480115
117	0.45544663
118	0.4551843294
119	0.4547571123
120	0.4540930084
121	0.4537540859
122	0.4535745258
123	0.4530118856
124	0.4521663122
125	0.4518425584
126	0.4510712455
127	0.4509679198
128	0.4509103955
129	0.450739319
