Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,CV_AUC
XGBoost,0.7466288147622427,0.5143824027072758,0.8128342245989305,0.6300518134715026,0.8424177839778864,0.6615415048036664,0.8460989439663182
Random Forest,0.765791341376863,0.5441767068273092,0.7245989304812834,0.6215596330275229,0.8408147975922913,0.6477462703558122,0.8434710624660614
Logistic Regression,0.7331440738112136,0.49829351535836175,0.7807486631016043,0.6083333333333333,0.8395799426489965,0.6276632336646751,0.8450707361145421
